HGNC,name,symbol
13201,ADAM metallopeptidase with thrombospondin type 1 motif 10,ADAMTS10
1366,ADAM metallopeptidase with thrombospondin type 1 motif 13,ADAMTS13
17109,ADAM metallopeptidase with thrombospondin type 1 motif 17,ADAMTS17
17110,ADAM metallopeptidase with thrombospondin type 1 motif 18,ADAMTS18
218,ADAM metallopeptidase with thrombospondin type 1 motif 2,ADAMTS2
219,ADAM metallopeptidase with thrombospondin type 1 motif 3,ADAMTS3
13202,ADAM metallopeptidase with thrombospondin type 1 motif 9,ADAMTS9
14632,ADAMTS like 1,ADAMTSL1
14631,ADAMTS like 2,ADAMTSL2
19706,ADAMTS like 4,ADAMTSL4
652,ADP ribosylation factor 1,ARF1
654,ADP ribosylation factor 3,ARF3
15853,ADP ribosylation factor guanine nucleotide exchange factor 2,ARFGEF2
24046,ADP ribosylation factor like GTPase 11,ARL11
25419,ADP ribosylation factor like GTPase 13B,ARL13B
17146,ADP ribosylation factor like GTPase 2 binding protein,ARL2BP
694,ADP ribosylation factor like GTPase 3,ARL3
13210,ADP ribosylation factor like GTPase 6,ARL6
697,ADP ribosylation factor like GTPase 6 interacting protein 1,ARL6IP1
24048,ADP ribosylation factor like GTPase 6 interacting protein 6,ARL6IP6
303,AE binding protein 1,AEBP1
18119,AFG2 AAA ATPase homolog A,AFG2A
28762,AFG2 AAA ATPase homolog B,AFG2B
315,AFG3 like matrix AAA peptidase subunit 2,AFG3L2
26504,AGBL carboxypeptidase 1,AGBL1
26147,AGBL carboxypeptidase 5,AGBL5
391,AKT serine/threonine kinase 1,AKT1
392,AKT serine/threonine kinase 2,AKT2
393,AKT serine/threonine kinase 3,AKT3
7135,ALF transcription elongation factor 1,AFF1
3776,ALF transcription elongation factor 2,AFF2
6473,ALF transcription elongation factor 3,AFF3
17869,ALF transcription elongation factor 4,AFF4
18294,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,ALG1
32456,"ALG11 alpha-1,2-mannosyltransferase",ALG11
19358,"ALG12 alpha-1,6-mannosyltransferase",ALG12
30881,ALG13 UDP-N-acetylglucosaminyltransferase subunit,ALG13
28287,ALG14 UDP-N-acetylglucosaminyltransferase subunit,ALG14
23159,"ALG2 alpha-1,3/1,6-mannosyltransferase",ALG2
23056,"ALG3 alpha-1,3- mannosyltransferase",ALG3
20266,ALG5 dolichyl-phosphate beta-glucosyltransferase,ALG5
23157,"ALG6 alpha-1,3-glucosyltransferase",ALG6
23161,"ALG8 alpha-1,3-glucosyltransferase",ALG8
15672,"ALG9 alpha-1,2-mannosyltransferase",ALG9
427,ALK receptor tyrosine kinase,ALK
428,ALMS1 centrosome and basal body associated protein,ALMS1
1494,ALX homeobox 1,ALX1
449,ALX homeobox 3,ALX3
450,ALX homeobox 4,ALX4
467,AMMECR nuclear protein 1,AMMECR1
15492,ANKH inorganic pyrophosphate transport regulator,ANKH
21014,ANTXR cell adhesion molecule 1,ANTXR1
21732,ANTXR cell adhesion molecule 2,ANTXR2
15718,APC down-regulated 1,APCDD1
26837,APC membrane recruitment protein 1,AMER1
583,APC regulator of WNT signaling pathway,APC
24036,APC regulator of WNT signaling pathway 2,APC2
728,ARVCF delta catenin family member,ARVCF
19088,ASH1 like histone lysine methyltransferase,ASH1L
13825,"ASPSCR1 tether for SLC2A4, UBX domain containing",ASPSCR1
18318,ASXL transcriptional regulator 1,ASXL1
23805,ASXL transcriptional regulator 2,ASXL2
29357,ASXL transcriptional regulator 3,ASXL3
25230,AT-hook DNA binding motif containing 1,AHDC1
11110,AT-rich interaction domain 1A,ARID1A
18040,AT-rich interaction domain 1B,ARID1B
18037,AT-rich interaction domain 2,ARID2
779,ATCAY kinesin light chain interacting caytaxin,ATCAY
795,ATM serine/threonine kinase,ATM
29,ATP binding cassette subfamily A member 1,ABCA1
14637,ATP binding cassette subfamily A member 12,ABCA12
32,ATP binding cassette subfamily A member 2,ABCA2
33,ATP binding cassette subfamily A member 3,ABCA3
34,ATP binding cassette subfamily A member 4,ABCA4
35,ATP binding cassette subfamily A member 5,ABCA5
37,ATP binding cassette subfamily A member 7,ABCA7
42,ATP binding cassette subfamily B member 11,ABCB11
45,ATP binding cassette subfamily B member 4,ABCB4
47,ATP binding cassette subfamily B member 6 (LAN blood group),ABCB6
48,ATP binding cassette subfamily B member 7,ABCB7
51,ATP binding cassette subfamily C member 1 (ABCC1 blood group),ABCC1
53,ATP binding cassette subfamily C member 2,ABCC2
57,ATP binding cassette subfamily C member 6,ABCC6
59,ATP binding cassette subfamily C member 8,ABCC8
60,ATP binding cassette subfamily C member 9,ABCC9
61,ATP binding cassette subfamily D member 1,ABCD1
68,ATP binding cassette subfamily D member 4,ABCD4
13886,ATP binding cassette subfamily G member 5,ABCG5
13887,ATP binding cassette subfamily G member 8,ABCG8
823,ATP synthase F1 subunit alpha,ATP5F1A
837,ATP synthase F1 subunit delta,ATP5F1D
838,ATP synthase F1 subunit epsilon,ATP5F1E
30889,ATP synthase membrane subunit k,ATP5MK
18802,ATP synthase mitochondrial F1 complex assembly factor 2,ATPAF2
17258,ATP/GTP binding carboxypeptidase 1,AGTPBP1
24113,ATPase 13A3,ATP13A3
865,ATPase H+ transporting V0 subunit a1,ATP6V0A1
18481,ATPase H+ transporting V0 subunit a2,ATP6V0A2
866,ATPase H+ transporting V0 subunit a4,ATP6V0A4
851,ATPase H+ transporting V1 subunit A,ATP6V1A
853,ATPase H+ transporting V1 subunit B1,ATP6V1B1
854,ATPase H+ transporting V1 subunit B2,ATP6V1B2
857,ATPase H+ transporting V1 subunit E1,ATP6V1E1
18305,ATPase H+ transporting accessory protein 2,ATP6AP2
819,ATPase H+/K+ transporting subunit alpha,ATP4A
799,ATPase Na+/K+ transporting subunit alpha 1,ATP1A1
800,ATPase Na+/K+ transporting subunit alpha 2,ATP1A2
801,ATPase Na+/K+ transporting subunit alpha 3,ATP1A3
30213,ATPase cation transporting 13A2,ATP13A2
869,ATPase copper transporting alpha,ATP7A
870,ATPase copper transporting beta,ATP7B
25903,ATPase family AAA domain containing 1,ATAD1
25567,ATPase family AAA domain containing 3A,ATAD3A
24007,ATPase family AAA domain containing 3B,ATAD3B
32151,ATPase family AAA domain containing 3C,ATAD3C
13542,ATPase phospholipid transporting 10A (putative),ATP10A
13552,ATPase phospholipid transporting 11A,ATP11A
13533,ATPase phospholipid transporting 8A2,ATP8A2
3706,ATPase phospholipid transporting 8B1,ATP8B1
13540,ATPase phospholipid transporting 9A (putative),ATP9A
814,ATPase plasma membrane Ca2+ transporting 1,ATP2B1
815,ATPase plasma membrane Ca2+ transporting 2,ATP2B2
816,ATPase plasma membrane Ca2+ transporting 3,ATP2B3
811,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,ATP2A1
812,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,ATP2A2
13211,ATPase secretory pathway Ca2+ transporting 1,ATP2C1
33499,ATR interacting protein,ATRIP
882,ATR serine/threonine kinase,ATR
886,ATRX chromatin remodeler,ATRX
10561,ATXN8 opposite strand lncRNA,ATXN8OS
890,AU RNA binding methylglutaconyl-CoA hydratase,AUH
21575,Abelson helper integration site 1,AHI1
14211,B cell linker,BLNK
16695,B cell receptor associated protein 31,BCAP31
18233,B cell scaffold protein with ankyrin repeats 1,BANK1
13652,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",BDP1
1097,"B-Raf proto-oncogene, serine/threonine kinase",BRAF
24123,B9 domain containing 1,B9D1
28636,B9 domain containing 2,B9D2
17397,BAF nuclear assembly factor 1,BANF1
939,BAG cochaperone 3,BAG3
941,BAG cochaperone 5,BAG5
28093,BBSome interacting protein 1,BBIP1
14347,BCAS3 microtubule associated cell migration factor,BCAS3
989,BCL10 immune signaling adaptor,BCL10
13221,BCL11 transcription factor A,BCL11A
13222,BCL11 transcription factor B,BCL11B
990,BCL2 apoptosis regulator,BCL2
20893,BCL6 corepressor,BCOR
25657,BCL6 corepressor like 1,BCORL1
1001,BCL6 transcription repressor,BCL6
1014,BCR activator of RhoGEF and GTPase,BCR
1020,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",BCS1L
17208,BICD cargo adaptor 2,BICD2
1057,"BLK proto-oncogene, Src family tyrosine kinase",BLK
1058,BLM RecQ like helicase,BLM
24154,BMP binding endothelial regulator,BMPER
23505,BMS1 ribosome biogenesis factor,BMS1
11405,BR serine/threonine kinase 2,BRSK2
1100,BRCA1 DNA repair associated,BRCA1
21701,BRCA1 associated ATM activator 1,BRAT1
952,BRCA1 associated RING domain 1,BARD1
950,BRCA1 associated deubiquitinase 1,BAP1
20473,BRCA1 interacting helicase 1,BRIP1
24185,BRCA1/BRCA2-containing complex subunit 3,BRCC3
1101,BRCA2 DNA repair associated,BRCA2
11551,BRF1 RNA polymerase III transcription initiation factor subunit,BRF1
15832,"BSCL2 lipid droplet biogenesis associated, seipin",BSCL2
1148,BUB1 mitotic checkpoint serine/threonine kinase,BUB1
1149,BUB1 mitotic checkpoint serine/threonine kinase B,BUB1B
1151,BUB3 mitotic checkpoint protein,BUB3
16405,BUD23 rRNA methyltransferase and ribosome maturation factor,BUD23
966,Bardet-Biedl syndrome 1,BBS1
26291,Bardet-Biedl syndrome 10,BBS10
26648,Bardet-Biedl syndrome 12,BBS12
967,Bardet-Biedl syndrome 2,BBS2
969,Bardet-Biedl syndrome 4,BBS4
970,Bardet-Biedl syndrome 5,BBS5
18758,Bardet-Biedl syndrome 7,BBS7
30000,Bardet-Biedl syndrome 9,BBS9
19351,BicC family RNA binding protein 1,BICC1
1133,Bruton tyrosine kinase,BTK
1602,C-C motif chemokine receptor 1,CCR1
1607,C-C motif chemokine receptor 6,CCR6
6027,C-X-C motif chemokine receptor 2,CXCR2
2561,C-X-C motif chemokine receptor 4,CXCR4
2494,C-terminal binding protein 1,CTBP1
14558,C-type lectin domain containing 7A,CLEC7A
14344,C1q and TNF related 5,C1QTNF5
14438,C2 calcium dependent domain containing 6,C2CD6
24564,C2 domain containing 3 centriole elongation regulator,C2CD3
23228,C3 and PZP like alpha-2-macroglobulin domain containing 8,CPAMD8
28337,C9orf72-SMCR8 complex subunit,C9ORF72
10461,CAP-Gly domain containing linker protein 1,CLIP1
2586,CAP-Gly domain containing linker protein 2,CLIP2
2340,CASP2 and RIPK1 domain containing adaptor with death domain,CRADD
1537,CBFA2/RUNX1 partner transcriptional co-repressor 3,CBFA2T3
30452,CBY1 interacting BAR domain containing 1,CIBAR1
1833,CCAAT enhancer binding protein alpha,CEBPA
1836,CCAAT enhancer binding protein epsilon,CEBPE
13723,CCCTC-binding factor,CTCF
13164,CCHC-type zinc finger nucleic acid binding protein,CNBP
21708,CCM2 scaffold protein,CCM2
7877,CCR4-NOT transcription complex subunit 1,CNOT1
7878,CCR4-NOT transcription complex subunit 2,CNOT2
7879,CCR4-NOT transcription complex subunit 3,CNOT3
21685,CD109 molecule,CD109
1630,CD151 molecule (Raph blood group),CD151
1632,CD164 molecule,CD164
1633,CD19 molecule,CD19
14258,CD2 associated protein,CD2AP
1677,CD247 molecule,CD247
11922,CD27 molecule,CD27
1653,CD28 molecule,CD28
1673,CD3 delta subunit of T-cell receptor complex,CD3D
1674,CD3 epsilon subunit of T-cell receptor complex,CD3E
1675,CD3 gamma subunit of T-cell receptor complex,CD3G
16692,CD320 molecule,CD320
11935,CD40 ligand,CD40LG
11919,CD40 molecule,CD40
6953,CD46 molecule,CD46
2665,CD55 molecule (Cromer blood group),CD55
1689,CD59 molecule (CD59 blood group),CD59
11937,CD70 molecule,CD70
1698,CD79a molecule,CD79A
1699,CD79b molecule,CD79B
1706,CD8 subunit alpha,CD8A
1701,CD81 molecule,CD81
16892,CD96 molecule,CD96
26929,CDAN1 interacting nuclease 1,CDIN1
24212,CDGSH iron sulfur domain 2,CISD2
18672,CDK5 regulatory subunit associated protein 2,CDK5RAP2
16744,CDKN1A interacting zinc finger protein 1,CIZ1
37276,CDP-L-ribitol pyrophosphorylase A,CRPPA
31948,"CEA cell adhesion molecule 16, tectorial membrane component",CEACAM16
1815,CEA cell adhesion molecule 3,CEACAM3
1818,CEA cell adhesion molecule 6,CEACAM6
1884,CF transmembrane conductance regulator,CFTR
1940,CHM Rab escort protein,CHM
2074,"CLN3 lysosomal/endosomal transmembrane protein, battenin",CLN3
2076,CLN5 intracellular trafficking protein,CLN5
2077,CLN6 transmembrane ER protein,CLN6
2079,CLN8 transmembrane ER and ERGIC protein,CLN8
2230,COPI coat complex subunit alpha,COPA
2231,COPI coat complex subunit beta 1,COPB1
2232,COPI coat complex subunit beta 2,COPB2
2348,CREB binding protein,CREBBP
2363,"CRK like proto-oncogene, adaptor protein",CRKL
26169,CST telomere replication complex component 1,CTC1
2498,CTD phosphatase subunit 1,CTDP1
2519,CTP synthase 1,CTPS1
,"CTR9 homolog, Paf1/RNA polymerase II complex component",CTR9
2550,CUGBP Elav-like family member 2,CELF2
10664,CWC27 spliceosome associated cyclophilin,CWC27
25613,CWF19 like cell cycle control factor 1,CWF19L1
24039,CXADR like membrane protein,CLMP
2584,CYLD lysine 63 deubiquitinase,CYLD
1541,Cbl proto-oncogene,CBL
1987,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,CITED2
14561,Cdc42 guanine nucleotide exchange factor 9,ARHGEF9
30664,ClpB family mitochondrial disaggregase,CLPB
29932,Coenzyme A synthase,COASY
28358,D-2-hydroxyglutarate dehydrogenase,D2HGDH
2671,D-amino acid oxidase,DAO
2661,DAB adaptor protein 1,DAB1
25536,DALR anticodon binding domain containing 3,DALRD3
26551,DAZ interacting zinc finger protein 1 like,DZIP1L
2701,DCC netrin 1 receptor,DCC
24891,DDB1 and CUL4 associated factor 8,DCAF8
19714,DDHD domain containing 1,DDHD1
29106,DDHD domain containing 2,DDHD2
16110,DDRGK domain containing 1,DDRGK1
2745,DEAD-box helicase 3 X-linked,DDX3X
2699,DEAD-box helicase 3 Y-linked,DDX3Y
18674,DEAD-box helicase 41,DDX41
25360,DEAD-box helicase 59,DDX59
2747,DEAD-box helicase 6,DDX6
2736,DEAD/H-box helicase 11,DDX11
14677,DEAF1 transcription factor,DEAF1
17210,DEAH-box helicase 37,DHX37
17211,DEAH-box helicase 38,DHX38
2768,DEK proto-oncogene,DEK
18423,"DEP domain containing 5, GATOR1 subcomplex subunit",DEPDC5
16716,DExH-box helicase 30,DHX30
28648,DIS3 like 3'-5' exoribonuclease 2,DIS3L2
2899,DLEC1 cilia and flagella associated protein,DLEC1
2933,DM1 protein kinase,DMPK
17642,DNA cross-link repair 1C,DCLRE1C
2726,DNA damage inducible transcript 3,DDIT3
28769,DNA damage regulated autophagy modulator 2,DRAM2
6600,DNA ligase 3,LIG3
6601,DNA ligase 4,LIG4
2976,DNA methyltransferase 1,DNMT1
2978,DNA methyltransferase 3 alpha,DNMT3A
2979,DNA methyltransferase 3 beta,DNMT3B
9173,"DNA polymerase alpha 1, catalytic subunit",POLA1
9175,"DNA polymerase delta 1, catalytic subunit",POLD1
9177,"DNA polymerase epsilon, catalytic subunit",POLE
9181,DNA polymerase eta,POLH
9180,"DNA polymerase gamma 2, accessory subunit",POLG2
9179,"DNA polymerase gamma, catalytic subunit",POLG
2993,DNA replication fork stabilization factor DONSON,DONSON
2939,DNA replication helicase/nuclease 2,DNA2
11990,DNA topoisomerase II beta,TOP2B
11992,DNA topoisomerase III alpha,TOP3A
,"DNase1 hypersensitivity, chromosome 6, site 1",DHS6S1
2938,Dmx like 2,DMXL2
5270,DnaJ heat shock protein family (Hsp40) member B1,DNAJB1
14889,DnaJ heat shock protein family (Hsp40) member B11,DNAJB11
30718,DnaJ heat shock protein family (Hsp40) member B13,DNAJB13
5228,DnaJ heat shock protein family (Hsp40) member B2,DNAJB2
14888,DnaJ heat shock protein family (Hsp40) member B6,DNAJB6
28908,DnaJ heat shock protein family (Hsp40) member C12,DNAJC12
30343,DnaJ heat shock protein family (Hsp40) member C13,DNAJC13
30528,DnaJ heat shock protein family (Hsp40) member C19,DNAJC19
27030,DnaJ heat shock protein family (Hsp40) member C21,DNAJC21
9439,DnaJ heat shock protein family (Hsp40) member C3,DNAJC3
16410,DnaJ heat shock protein family (Hsp40) member C30,DNAJC30
16235,DnaJ heat shock protein family (Hsp40) member C5,DNAJC5
15469,DnaJ heat shock protein family (Hsp40) member C6,DNAJC6
3373,E1A binding protein p300,EP300
3319,E74 like ETS transcription factor 4,ELF4
19087,EBF transcription factor 3,EBF3
3133,EBP cholestenol delta-isomerase,EBP
14341,EDAR associated via death domain,EDARADD
16406,EF-hand domain containing 1,EFHC1
3218,EGF containing fibulin extracellular matrix protein 1,EFEMP1
3219,EGF containing fibulin extracellular matrix protein 2,EFEMP2
28526,EGF domain specific O-linked N-acetylglucosamine transferase,EOGT
3420,"EGFR pathway substrate 8, signaling adaptor",EPS8
17072,ELKS/RAB6-interacting/CAST family member 1,ERC1
26158,ELMO domain containing 3,ELMOD3
14415,ELOVL fatty acid elongase 4,ELOVL4
21308,ELOVL fatty acid elongase 5,ELOVL5
3330,EMAP like 1,EML1
16912,EMG1 N1-specific pseudouridine methyltransferase,EMG1
3386,EPH receptor A2,EPHA2
3393,EPH receptor B2,EPHB2
3395,EPH receptor B4,EPHB4
3413,"EPM2A glucan phosphatase, laforin",EPM2A
21296,EPS8 signaling adaptor L2,EPS8L2
21297,EPS8 signaling adaptor L3,EPS8L3
16787,ER degradation enhancing alpha-mannosidase like protein 3,EDEM3
16947,ER lipid raft associated 1,ERLIN1
1356,ER lipid raft associated 2,ERLIN2
21056,ER membrane associated RNA degradation,ERMARD
28957,ER membrane protein complex subunit 1,EMC1
27609,ER membrane protein complex subunit 10,EMC10
3433,"ERCC excision repair 1, endonuclease non-catalytic subunit",ERCC1
3434,"ERCC excision repair 2, TFIIH core complex helicase subunit",ERCC2
3435,"ERCC excision repair 3, TFIIH core complex helicase subunit",ERCC3
3436,"ERCC excision repair 4, endonuclease catalytic subunit",ERCC4
3437,"ERCC excision repair 5, endonuclease",ERCC5
26922,ERCC excision repair 6 like 2,ERCC6L2
3438,"ERCC excision repair 6, chromatin remodeling factor",ERCC6
3439,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",ERCC8
23287,ETHE1 persulfide dioxygenase,ETHE1
3488,"ETS proto-oncogene 1, transcription factor",ETS1
3446,ETS transcription factor ERG,ERG
3490,ETS variant transcription factor 1,ETV1
3493,ETS variant transcription factor 4,ETV4
3495,ETS variant transcription factor 6,ETV6
3444,ETS2 repressor factor,ERF
3508,EWS RNA binding protein 1,EWSR1
3519,EYA transcriptional coactivator and phosphatase 1,EYA1
3522,EYA transcriptional coactivator and phosphatase 4,EYA4
3424,Era like 12S mitochondrial rRNA chaperone 1,ERAL1
3497,EvC ciliary complex subunit 1,EVC
19747,EvC ciliary complex subunit 2,EVC2
13607,F-box and WD repeat domain containing 11,FBXW11
10847,F-box and WD repeat domain containing 4,FBXW4
13601,F-box and leucine rich repeat protein 4,FBXL4
29046,F-box protein 28,FBXO28
16510,F-box protein 31,FBXO31
28844,F-box protein 38,FBXO38
28521,F-box protein 43,FBXO43
13586,F-box protein 7,FBXO7
3582,FA complementation group A,FANCA
3583,FA complementation group B,FANCB
3584,FA complementation group C,FANCC
3585,FA complementation group D2,FANCD2
3586,FA complementation group E,FANCE
3587,FA complementation group F,FANCF
3588,FA complementation group G,FANCG
25568,FA complementation group I,FANCI
20748,FA complementation group L,FANCL
23168,FA complementation group M,FANCM
26927,FAD dependent oxidoreductase domain containing 1,FOXRED1
24725,FAM111 trypsin like peptidase A,FAM111A
24200,FAM111 trypsin like peptidase B,FAM111B
25808,FAM161 centrosomal protein A,FAM161A
23015,FAM20A golgi associated secretory pathway pseudokinase,FAM20A
22140,FAM20C golgi associated secretory pathway kinase,FAM20C
29170,FANCD2 and FANCI associated nuclease 1,FAN1
29160,FAST kinase domains 2,FASTKD2
3596,FAT atypical cadherin 2,FAT2
23109,FAT atypical cadherin 4,FAT4
29002,FCH and mu domain containing endocytic adaptor 1,FCHO1
29007,FERM and PDZ domain containing 4,FRMPD4
25491,FERM domain containing 4A,FRMD4A
15889,FERM domain containing kindlin 1,FERMT1
23151,FERM domain containing kindlin 3,FERMT3
1184,FERRY endosomal RAB5 effector complex subunit 3,FERRY3
22788,FEZ family zinc finger 1,FEZF1
3705,FGF1 intracellular binding protein,FIBP
16873,FIG4 phosphoinositide 5-phosphatase,FIG4
18169,FKBP prolyl isomerase 10,FKBP10
18625,FKBP prolyl isomerase 14,FKBP14
3722,FKBP prolyl isomerase family member 6 (inactive),FKBP6
3750,FLII actin remodeling protein,FLII
24682,FLVCR choline and heme transporter 1,FLVCR1
20105,FLVCR choline and putative heme transporter 2,FLVCR2
23399,FRAS1 related extracellular matrix 1,FREM1
25396,FRAS1 related extracellular matrix 2,FREM2
3954,FSHD region gene 1,FRG1
24678,FTO alpha-ketoglutarate dependent dioxygenase,FTO
4010,FUS RNA binding protein,FUS
4026,FXYD domain containing ion transport regulator 2,FXYD2
4036,FYN binding protein 1,FYB1
14673,FYVE and coiled-coil domain autophagy adaptor 1,FYCO1
3663,"FYVE, RhoGEF and PH domain containing 1",FGD1
19125,"FYVE, RhoGEF and PH domain containing 4",FGD4
3573,Fas associated via death domain,FADD
11920,Fas cell surface death receptor,FAS
11936,Fas ligand,FASLG
3619,Fc fragment of IgG receptor IIIa,FCGR3A
3620,Fc fragment of IgG receptor IIIb,FCGR3B
3618,Fc fragment of IgG receptor IIb,FCGR2B
15626,Fc gamma receptor IIc (gene/pseudogene),FCGR2C
3749,"Fli-1 proto-oncogene, ETS transcription factor",FLI1
3796,"Fos proto-oncogene, AP-1 transcription factor subunit",FOS
3797,"FosB proto-oncogene, AP-1 transcription factor subunit",FOSB
19185,Fraser extracellular matrix complex subunit 1,FRAS1
13254,FtsJ RNA 2'-O-methyltransferase 1,FTSJ1
13780,G elongation factor mitochondrial 1,GFM1
29501,G protein signaling modulator 2,GPSM2
4379,G protein subunit alpha 11,GNA11
4382,G protein subunit alpha 14,GNA14
4388,G protein subunit alpha L,GNAL
4387,G protein subunit alpha i3,GNAI3
4389,G protein subunit alpha o1,GNAO1
4390,G protein subunit alpha q,GNAQ
4393,G protein subunit alpha transducin 1,GNAT1
4394,G protein subunit alpha transducin 2,GNAT2
4396,G protein subunit beta 1,GNB1
4398,G protein subunit beta 2,GNB2
4400,G protein subunit beta 3,GNB3
20731,G protein subunit beta 4,GNB4
4401,G protein subunit beta 5,GNB5
14963,G protein-coupled receptor 101,GPR101
20145,G protein-coupled receptor 143,GPR143
23694,G protein-coupled receptor 161,GPR161
31371,G protein-coupled receptor 179,GPR179
4492,G protein-coupled receptor 35,GPR35
4519,G protein-coupled receptor 68,GPR68
25169,G protein-coupled receptor associated sorting protein 2,GPRASP2
10013,G protein-coupled receptor kinase 1,GRK1
30677,G-patch domain and KOW motifs,GPKOW
1197,GAS8 antisense RNA 1,GAS8-AS1
4170,GATA binding protein 1,GATA1
4171,GATA binding protein 2,GATA2
4172,GATA binding protein 3,GATA3
4173,GATA binding protein 4,GATA4
15802,GATA binding protein 5,GATA5
4174,GATA binding protein 6,GATA6
29941,GATA zinc finger domain containing 1,GATAD1
30778,GATA zinc finger domain containing 2B,GATAD2B
4243,GDNF family receptor alpha 1,GFRA1
15808,GDNF inducible zinc finger protein 1,GZF1
4226,GDP dissociation inhibitor 1,GDI1
22923,GDP-mannose pyrophosphorylase A,GMPPA
22932,GDP-mannose pyrophosphorylase B,GMPPB
28980,GINS complex subunit 1,GINS1
1226,GIPC PDZ domain containing family member 1,GIPC1
18183,GIPC PDZ domain containing family member 3,GIPC3
4315,GLE1 RNA export mediator,GLE1
4317,GLI family zinc finger 1,GLI1
4318,GLI family zinc finger 2,GLI2
4319,GLI family zinc finger 3,GLI3
29450,GLIS family zinc finger 2,GLIS2
28510,GLIS family zinc finger 3,GLIS3
4392,GNAS complex locus,GNAS
20356,GON7 subunit of KEOPS complex,GON7
11960,GRB10 interacting GYF protein 2,GIGYF2
4562,GRB2 related adaptor protein,GRAP
31042,GREB1 like retinoic acid receptor coactivator,GREB1L
24959,GS homeobox 2,GSX2
4661,GTF2I repeat domain containing 1,GTF2IRD1
30775,GTF2I repeat domain containing 2,GTF2IRD2
25799,GTP binding elongation factor GUF1,GUF1
14880,"GTP binding protein 3, mitochondrial",GTPBP3
4193,GTP cyclohydrolase 1,GCH1
29682,GTP dependent ribosome recycling factor mitochondrial 2,GFM2
23375,GTPase activating protein and VPS9 domains 1,GAPVD1
4718,"H1.4 linker histone, cluster member",H1-4
4713,H19 imprinted maternally expressed transcript,H19
4978,H2.0 like homeobox,HLX
4787,H4 clustered histone 3,H4C3
4790,H4 clustered histone 5,H4C5
4793,H4 clustered histone 9,H4C9
5017,H6 family homeobox 1,HMX1
16915,HCLS1 associated protein X-1,HAX1
26087,HEAT repeat containing 3,HEATR3
4868,HECT and RLD domain containing E3 ubiquitin protein ligase 2,HERC2
4867,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,HERC1
21033,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,HACE1
30892,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",HUWE1
43984,HELLP associated long non-coding RNA,HELLPAR
4877,HESX homeobox 1,HESX1
4909,HIC ZBTB transcriptional repressor 1,HIC1
4921,HIVEP zinc finger 2,HIVEP2
4977,"HLF transcription factor, PAR bZIP family member",HLF
