ORPHAcode,Disorder name,Disorder type,Gene symbol,Gene name,Gene type,Gene synonyms,Locus,Validation source
24,Fumaric aciduria,Disease,FH,fumarate hydratase,gene with protein product,['fumarase'],"[{'GeneLocus': '1q43', 'LocusKey': 1}]",20301679[PMID]
25,Glutaryl-CoA dehydrogenase deficiency,Disease,GCDH,glutaryl-CoA dehydrogenase,gene with protein product,"['ACAD5', 'GCD']","[{'GeneLocus': '19p13.13', 'LocusKey': 1}]",18775954[PMID]
29,Mevalonic aciduria,Clinical subtype,MVK,mevalonate kinase,gene with protein product,"['LH receptor mRNA-binding protein', 'LRBP', 'MK', 'mevalonic aciduria']","[{'GeneLocus': '12q24.11', 'LocusKey': 1}]",
30,Hereditary orotic aciduria,Disease,UMPS,uridine monophosphate synthetase,gene with protein product,"[""orotate phosphoribosyl transferase and orotidine-5'-decarboxylase""]","[{'GeneLocus': '3q21.2', 'LocusKey': 1}]",9042911[PMID]_19562503[PMID]
31,Oxoglutaric aciduria,Disease,OGDH,oxoglutarate dehydrogenase,gene with protein product,"['E1k', 'KGD1', 'OGDC-E1', 'OGDH2']","[{'GeneLocus': '7p13', 'LocusKey': 1}]",36520152[PMID]
33,Isovaleric acidemia,Disease,IVD,isovaleryl-CoA dehydrogenase,gene with protein product,"['ACAD2', 'IVDH']","[{'GeneLocus': '15q15.1', 'LocusKey': 1}]",
35,Propionic acidemia,Disease,PCCA,propionyl-CoA carboxylase subunit alpha,gene with protein product,,"[{'GeneLocus': '13q32.3', 'LocusKey': 1}]",22593918[PMID]
35,Propionic acidemia,Disease,PCCB,propionyl-CoA carboxylase subunit beta,gene with protein product,,"[{'GeneLocus': '3q22.3', 'LocusKey': 1}]",22593918[PMID]
36,Acrocallosal syndrome,Malformation syndrome,GLI3,GLI family zinc finger 3,gene with protein product,"['ACLS', 'DNA-binding protein', 'PAP-A', 'PAPA', 'PAPA1', 'PAPB', 'PPDIV', 'oncogene GLI3', 'zinc finger protein GLI3']","[{'GeneLocus': '7p14.1', 'LocusKey': 1}]",23633388[PMID]_12414818[PMID]
36,Acrocallosal syndrome,Malformation syndrome,KIF7,kinesin family member 7,gene with protein product,['JBTS12'],"[{'GeneLocus': '15q26.1', 'LocusKey': 1}]",21552264[PMID]_23142271[PMID]
37,Acrodermatitis enteropathica,Disease,SLC39A4,solute carrier family 39 member 4,gene with protein product,"['AWMS2', 'ZIP-4', 'ZIP4', 'ZRT/IRT-like protein 4', 'Zinc transporter ZIP4', 'zinc transporter 4']","[{'GeneLocus': '8q24.3', 'LocusKey': 1}]",22166942[PMID]_22082465[PMID]_12787121[PMID]
40,"Acromesomelic dysplasia, Maroteaux type",Malformation syndrome,NPR2,natriuretic peptide receptor 2,gene with protein product,"['ANPb', 'GC-B', 'GUCY2B', 'guanylate cyclase 2B', 'guanylyl cyclase B']","[{'GeneLocus': '9p13.3', 'LocusKey': 1}]",22691581[PMID]_15146390[PMID]
41,Dyschromatosis symmetrica hereditaria,Disease,ADAR,adenosine deaminase RNA specific,gene with protein product,"['ADAR1', 'DRADA', 'Double-stranded RNA-specific adenosine deaminase']","[{'GeneLocus': '1q21.3', 'LocusKey': 1}]",12916015[PMID]
42,Medium chain acyl-CoA dehydrogenase deficiency,Disease,ACADM,acyl-CoA dehydrogenase medium chain,gene with protein product,"['ACAD1', 'MCAD', 'MCADH', 'medium-chain acyl-CoA dehydrogenase']","[{'GeneLocus': '1p31.1', 'LocusKey': 1}]",20301597[PMID]
44,Neonatal adrenoleukodystrophy,Disease,PEX2,peroxisomal biogenesis factor 2,gene with protein product,"['PAF-1', 'PMP35', 'RNF72', 'ZWS3', 'Zellweger syndrome', 'peroxin 2']","[{'GeneLocus': '8q21.13', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX1,peroxisomal biogenesis factor 1,gene with protein product,,"[{'GeneLocus': '7q21.2', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX10,peroxisomal biogenesis factor 10,gene with protein product,['RNF69'],"[{'GeneLocus': '1p36.32', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX12,peroxisomal biogenesis factor 12,gene with protein product,,"[{'GeneLocus': '17q12', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX13,peroxisomal biogenesis factor 13,gene with protein product,,"[{'GeneLocus': '2p15', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX14,peroxisomal biogenesis factor 14,gene with protein product,,"[{'GeneLocus': '1p36.22', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX16,peroxisomal biogenesis factor 16,gene with protein product,,"[{'GeneLocus': '11p11.2', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX19,peroxisomal biogenesis factor 19,gene with protein product,"['D1S2223E', 'HK33', 'PMP1', 'PMPI', 'PXMP1', 'housekeeping gene, 33kD']","[{'GeneLocus': '1q23.2', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX26,peroxisomal biogenesis factor 26,gene with protein product,['FLJ20695'],"[{'GeneLocus': '22q11.21', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX3,peroxisomal biogenesis factor 3,gene with protein product,,"[{'GeneLocus': '6q24.2', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX5,peroxisomal biogenesis factor 5,gene with protein product,"['PTS1R', 'peroxisomal import receptor 5', 'peroxisomal targeting signal 1 receptor']","[{'GeneLocus': '12p13.31', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX6,peroxisomal biogenesis factor 6,gene with protein product,"['PAF-2', 'PXAAA1']","[{'GeneLocus': '6p21.1', 'LocusKey': 1}]",
44,Neonatal adrenoleukodystrophy,Disease,PEX11B,peroxisomal biogenesis factor 11 beta,gene with protein product,"['PEX11beta', 'PEX11ß', 'Peroxisomal membrane protein 11B']","[{'GeneLocus': '1q21.1', 'LocusKey': 1}]",
45,Adenosine monophosphate deaminase deficiency,Disease,AMPD1,adenosine monophosphate deaminase 1,gene with protein product,"['AMPD isoform M', 'MAD', 'MADA', 'myoadenylate deaminase', 'skeletal muscle AMPD']","[{'GeneLocus': '1p13.2', 'LocusKey': 1}]",
45,Adenosine monophosphate deaminase deficiency,Disease,AMPD3,adenosine monophosphate deaminase 3,gene with protein product,['erythrocyte-specific AMP deaminase'],"[{'GeneLocus': '11p15.4', 'LocusKey': 1}]",8004104[PMID]_11139257[PMID]
46,Adenylosuccinate lyase deficiency,Disease,ADSL,adenylosuccinate lyase,gene with protein product,,"[{'GeneLocus': '22q13.1', 'LocusKey': 1}]",18524658[PMID]
47,X-linked agammaglobulinemia,Clinical subtype,BTK,Bruton tyrosine kinase,gene with protein product,"['ATK', ""Bruton's tyrosine kinase"", 'PSCTK1', 'XLA']","[{'GeneLocus': 'Xq22.1', 'LocusKey': 1}]",20301626[PMID]
48,Congenital bilateral absence of vas deferens,Morphological anomaly,ADGRG2,adhesion G protein-coupled receptor G2,gene with protein product,"['EDDM6', 'HE6', 'TM7LN2', 'epididymal protein 6']","[{'GeneLocus': 'Xp22.13', 'LocusKey': 1}]",27476656[PMID]
48,Congenital bilateral absence of vas deferens,Morphological anomaly,CFTR,CF transmembrane conductance regulator,gene with protein product,"['ABC35', 'ATP-binding cassette sub-family C, member 7', 'CFTR/MRP', 'MRP7', 'TNR-CFTR', 'dJ760C5.1']","[{'GeneLocus': '7q31.2', 'LocusKey': 1}]",7539342[PMID]_10651488[PMID]
51,Aicardi-Goutières syndrome,Disease,LSM11,"LSM11, U7 small nuclear RNA associated",gene with protein product,['FLJ38273'],"[{'GeneLocus': '5q33.3', 'LocusKey': 1}]",33230297[PMID]
51,Aicardi-Goutières syndrome,Disease,RNU7-1,"RNA, U7 small nuclear 1",Non-coding RNA,"['RNA, small nuclear U7.1', 'U7.1']","[{'GeneLocus': '12p13.31', 'LocusKey': 1}]",33230297[PMID]
51,Aicardi-Goutières syndrome,Disease,SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,gene with protein product,"['AGS5', 'Aicardi-Goutieres syndrome 5', 'HD domain containing 1', 'HDDC1', 'MOP-5', 'Mg11', 'SBBI88', 'monocyte protein 5']","[{'GeneLocus': '20q11.23', 'LocusKey': 1}]",20301648[PMID]_20842748[PMID]_19525956[PMID]
51,Aicardi-Goutières syndrome,Disease,RNASEH2A,ribonuclease H2 subunit A,gene with protein product,"['AGS4', 'RNASEHI', 'RNHIA', 'RNHL']","[{'GeneLocus': '19p13.13', 'LocusKey': 1}]",20301648[PMID]
51,Aicardi-Goutières syndrome,Disease,RNASEH2B,ribonuclease H2 subunit B,gene with protein product,['FLJ11712'],"[{'GeneLocus': '13q14.3', 'LocusKey': 1}]",20301648[PMID]
51,Aicardi-Goutières syndrome,Disease,RNASEH2C,ribonuclease H2 subunit C,gene with protein product,"['AGS3', 'AYP1', 'Aicardi-Goutieres syndrome 3']","[{'GeneLocus': '11q13.1', 'LocusKey': 1}]",20301648[PMID]
51,Aicardi-Goutières syndrome,Disease,ADAR,adenosine deaminase RNA specific,gene with protein product,"['ADAR1', 'DRADA', 'Double-stranded RNA-specific adenosine deaminase']","[{'GeneLocus': '1q21.3', 'LocusKey': 1}]",20301648[PMID]_23001123[PMID]
51,Aicardi-Goutières syndrome,Disease,TREX1,three prime repair exonuclease 1,gene with protein product,['DRN3'],"[{'GeneLocus': '3p21.31', 'LocusKey': 1}]",20301648[PMID]_16845398[PMID]_17357087[PMID]_20799324[PMID]
51,Aicardi-Goutières syndrome,Disease,IFIH1,interferon induced with helicase C domain 1,gene with protein product,"['Hlcd', 'IDDM19', 'MDA-5', 'MDA5', 'helicard', 'melanoma differentiation-associated gene 5']","[{'GeneLocus': '2q24.2', 'LocusKey': 1}]",24686847[PMID]_24995871[PMID]
53,Albers-Schönberg osteopetrosis,Malformation syndrome,CLCN7,chloride voltage-gated channel 7,gene with protein product,"['CLC-7', 'CLC7', 'ClC-7', 'OPTA2', 'PPP1R63', 'protein phosphatase 1, regulatory subunit 63']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",11741829[PMID]_20301306[PMID]
54,X-linked recessive ocular albinism,Disease,AP3D1,adaptor related protein complex 3 subunit delta 1,gene with protein product,['ADTD'],"[{'GeneLocus': '19p13.3', 'LocusKey': 1}]",
54,X-linked recessive ocular albinism,Disease,GPR143,G protein-coupled receptor 143,gene with protein product,['ocular albinism 1'],"[{'GeneLocus': 'Xp22.2', 'LocusKey': 1}]",
56,Alkaptonuria,Disease,HGD,"homogentisate 1,2-dioxygenase",gene with protein product,"['HGO', 'homogentisate oxidase']","[{'GeneLocus': '3q13.33', 'LocusKey': 1}]",20301627[PMID]
57,Glycogen storage disease due to aldolase A deficiency,Disease,ALDOA,"aldolase, fructose-bisphosphate A",gene with protein product,,"[{'GeneLocus': '16p11.2', 'LocusKey': 1}]",
59,Allan-Herndon-Dudley syndrome,Disease,SLC16A2,solute carrier family 16 member 2,gene with protein product,"['DXS128E', 'MCT7', 'MCT8', 'X-linked PEST-containing transporter', 'XPCT', 'monocarboxylate transporter 8']","[{'GeneLocus': 'Xq13.2', 'LocusKey': 1}]",20301789[PMID]_18398436[PMID]
60,Alpha-1-antitrypsin deficiency,Disease,SERPINA1,serpin family A member 1,gene with protein product,"['A1A', 'A1AT', 'AAT', 'PI1', 'alpha-1 antitrypsin', 'alpha-1 proteinase inhibitor', 'alpha-1-antitrypsin', 'alpha1AT', 'anti-elastase', 'protease inhibitor 1', 'protease inhibitor 1 (anti-elastase), alpha-1-antitrypsin']","[{'GeneLocus': '14q32.13', 'LocusKey': 1}]",20301692[PMID]
62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3,Disease,SGCA,sarcoglycan alpha,gene with protein product,"['50kD DAG', 'A2', 'DMDA2', 'LGMD2D', 'SCARMD1', 'adhalin', 'limb girdle muscular dystrophy 2D']","[{'GeneLocus': '17q21.33', 'LocusKey': 1}]",19798725[PMID]_21856579[PMID]_20301582[PMID]
64,Alström syndrome,Disease,ALMS1,ALMS1 centrosome and basal body associated protein,gene with protein product,['KIAA0328'],"[{'GeneLocus': '2p13.1', 'LocusKey': 1}]",20301444[PMID]
65,Leber congenital amaurosis,Disease,USP45,ubiquitin specific peptidase 45,gene with protein product,['MGC14793'],"[{'GeneLocus': '6q16.2', 'LocusKey': 1}]",30573563[PMID]
65,Leber congenital amaurosis,Disease,TUBB4B,tubulin beta 4B class IVb,gene with protein product,"['Beta2', 'class IVb beta-tubulin']","[{'GeneLocus': '9q34.3', 'LocusKey': 1}]",35240325[PMID]
65,Leber congenital amaurosis,Disease,SPATA7,spermatogenesis associated 7,gene with protein product,['HSD3'],"[{'GeneLocus': '14q31.3', 'LocusKey': 1}]",19268277[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,GDF6,growth differentiation factor 6,gene with protein product,"['BMP13', 'KFS', 'KFS1']","[{'GeneLocus': '8q22.1', 'LocusKey': 1}]",23307924[PMID]_25685757[PMID]
65,Leber congenital amaurosis,Disease,IFT140,intraflagellar transport 140,gene with protein product,"['KIAA0590', 'gs114']","[{'GeneLocus': '16p13.3', 'LocusKey': 1}]",26216056[PMID]
65,Leber congenital amaurosis,Disease,NMNAT1,nicotinamide nucleotide adenylyltransferase 1,gene with protein product,"['NMNAT', 'PNAT1', 'nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1']","[{'GeneLocus': '1p36.22', 'LocusKey': 1}]",22842227[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,RD3,RD3 regulator of GUCY2D,gene with protein product,['LCA12'],"[{'GeneLocus': '1q32.3', 'LocusKey': 1}]",17186464[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,RDH12,retinol dehydrogenase 12,gene with protein product,"['FLJ30273', 'LCA13', 'RP53', 'SDR7C2', 'short chain dehydrogenase/reductase family 7C, member 2']","[{'GeneLocus': '14q24.1', 'LocusKey': 1}]",15322982[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,RPE65,retinoid isomerohydrolase RPE65,gene with protein product,"['BCO family, member 3', 'BCO3', 'LCA2', 'all-trans-retinyl-palmitate hydrolase', 'rd12', 'retinol isomerase']","[{'GeneLocus': '1p31.3', 'LocusKey': 1}]",25495949[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,RPGRIP1,RPGR interacting protein 1,gene with protein product,"['CORD13', 'LCA6', 'RGI1']","[{'GeneLocus': '14q11.2', 'LocusKey': 1}]",11528500[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,CEP290,centrosomal protein 290,gene with protein product,"['3H11Ag', 'BBS14', 'Bardet-Biedl syndrome 14', 'CT87', 'FLJ13615', 'JBTS5', 'Joubert syndrome 5', 'KIAA0373', 'LCA10', 'MKS4', 'Meckel syndrome, type 4', 'NPHP6', 'POC3', 'POC3 centriolar protein homolog (Chlamydomonas)', 'SLSN6', 'cancer/testis antigen 87', 'nephrocystin-6', 'rd16']","[{'GeneLocus': '12q21.32', 'LocusKey': 1}]",25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,AIPL1,aryl hydrocarbon receptor interacting protein like 1,gene with protein product,,"[{'GeneLocus': '17p13.2', 'LocusKey': 1}]",25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,TULP1,TUB like protein 1,gene with protein product,"['LCA15', 'TUBL1']","[{'GeneLocus': '6p21.31', 'LocusKey': 1}]",17962469[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,CRB1,crumbs cell polarity complex component 1,gene with protein product,['LCA8'],"[{'GeneLocus': '1q31.3', 'LocusKey': 1}]",25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,CRX,cone-rod homeobox,gene with protein product,"['CRD', 'LCA7', 'OTX3', 'orthodenticle homeobox 3']","[{'GeneLocus': '19q13.33', 'LocusKey': 1}]",9931337[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,GUCY2D,"guanylate cyclase 2D, retinal",gene with protein product,"['CYGD', 'LCA1', 'Leber congenital amaurosis 1', 'RETGC-1', 'ROS-GC', 'ROS-GC1', 'retGC', 'retinal guanylate cyclase 1', 'rod outer segment membrane guanylate cyclase']","[{'GeneLocus': '17p13.1', 'LocusKey': 1}]",25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,IMPDH1,inosine monophosphate dehydrogenase 1,gene with protein product,"['LCA11', 'sWSS2608']","[{'GeneLocus': '7q32.1', 'LocusKey': 1}]",16384941[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,IQCB1,IQ motif containing B1,gene with protein product,"['KIAA0036', 'NPHP5', 'SLSN5', 'nephrocystin-5']","[{'GeneLocus': '3q13.33', 'LocusKey': 1}]",20881296[PMID]_21901789[PMID]
65,Leber congenital amaurosis,Disease,LCA5,lebercilin LCA5,gene with protein product,,"[{'GeneLocus': '6q14.1', 'LocusKey': 1}]",17546029[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,KCNJ13,potassium inwardly rectifying channel subfamily J member 13,gene with protein product,"['Kir1.4', 'Kir7.1', 'LCA16']","[{'GeneLocus': '2q37.1', 'LocusKey': 1}]",21763485[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,LRAT,lecithin retinol acyltransferase,gene with protein product,"['LCA14', 'phosphatidylcholine--retinol O-acyltransferase']","[{'GeneLocus': '4q32.1', 'LocusKey': 1}]",17011878[PMID]_25685757[PMID]_20301475[PMID]
65,Leber congenital amaurosis,Disease,PCYT1A,"phosphate cytidylyltransferase 1A, choline",gene with protein product,"['CCTalpha', 'CT', 'CTP:phosphocholine cytidylyltransferase-alpha', 'CTPCT', 'choline-phosphate cytidylyltransferase alpha', 'phosphorylcholine transferase alpha']","[{'GeneLocus': '3q29', 'LocusKey': 1}]",28272537[PMID]
71,Chylomicron retention disease,Disease,SAR1B,secretion associated Ras related GTPase 1B,gene with protein product,,"[{'GeneLocus': '5q31.1', 'LocusKey': 1}]",21235735[PMID]_18786134[PMID]
79,Congenital alpha2-antiplasmin deficiency,Disease,SERPINF2,serpin family F member 2,gene with protein product,"['A2AP', 'AAP', 'ALPHA-2-PI', 'API', 'alpha-2-antiplasmin', 'alpha-2-plasmin inhibitor', 'alpha2AP']","[{'GeneLocus': '17p13.3', 'LocusKey': 1}]",17961166[PMID]_11472338[PMID]
82,Hereditary thrombophilia due to congenital antithrombin deficiency,Disease,SERPINC1,serpin family C member 1,gene with protein product,"['ATIII', 'MGC22579', 'antithrombin (aa 375-432)', 'antithrombin III', 'coding sequence signal peptide antithrombin part 1', 'signal peptide antithrombin part 1']","[{'GeneLocus': '1q25.1', 'LocusKey': 1}]",24684277[PMID]
84,Fanconi anemia,Malformation syndrome,RAD51,RAD51 recombinase,gene with protein product,"['BRCA1/BRCA2-containing complex, subunit 5', 'BRCC5', 'FANCR', 'HsRad51', 'HsT16930']","[{'GeneLocus': '15q15.1', 'LocusKey': 1}]",26681308[PMID]
84,Fanconi anemia,Malformation syndrome,MAD2L2,mitotic arrest deficient 2 like 2,gene with protein product,"['FANCV', 'MAD2B', 'POLZ2', 'REV7', 'mitotic arrest deficient homolog-like 2', 'polymerase (DNA-directed), zeta 2, accessory subunit']","[{'GeneLocus': '1p36.22', 'LocusKey': 1}]",27500492[PMID]
84,Fanconi anemia,Malformation syndrome,BRCA1,BRCA1 DNA repair associated,gene with protein product,"['BRCA1/BRCA2-containing complex, subunit 1', 'BRCC1', 'FANCS', 'Fanconi anemia, complementation group S', 'PPP1R53', 'RNF53', 'protein phosphatase 1, regulatory subunit 53']","[{'GeneLocus': '17q21.31', 'LocusKey': 1}]",29133208[PMID]
84,Fanconi anemia,Malformation syndrome,XRCC2,X-ray repair cross complementing 2,gene with protein product,"['DNA repair protein XRCC2', 'FANCU', 'RAD51-like']","[{'GeneLocus': '7q36.1', 'LocusKey': 1}]",22232082[PMID]_27208205[PMID]
84,Fanconi anemia,Malformation syndrome,RFWD3,ring finger and WD repeat domain 3,gene with protein product,"['FANCW', 'FLJ10520', 'RNF201']","[{'GeneLocus': '16q23.1', 'LocusKey': 1}]",28691929[PMID]
84,Fanconi anemia,Malformation syndrome,BRCA2,BRCA2 DNA repair associated,gene with protein product,"['BRCA1/BRCA2-containing complex, subunit 2', 'BRCC2', 'FAD', 'FAD1', 'XRCC11']","[{'GeneLocus': '13q13.1', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,BRIP1,BRCA1 interacting helicase 1,gene with protein product,"['BACH1', 'BRCA1 interacting protein 1', 'BRCA1-associated C-terminal helicase', 'BRCA1/BRCA2-associated helicase 1', 'FANCJ', 'FANCJ helicase', 'OF']","[{'GeneLocus': '17q23.2', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",gene with protein product,"['FANCQ', 'RAD1', 'xeroderma pigmentosum, complementation group F']","[{'GeneLocus': '16p13.12', 'LocusKey': 1}]",23623386[PMID]
84,Fanconi anemia,Malformation syndrome,FANCA,FA complementation group A,gene with protein product,"['FA-H', 'FAA', 'FAH']","[{'GeneLocus': '16q24.3', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCB,FA complementation group B,gene with protein product,"['FAAP95', 'FAB', 'FLJ34064']","[{'GeneLocus': 'Xp22.2', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCC,FA complementation group C,gene with protein product,"['FA3', 'FAC']","[{'GeneLocus': '9q22.32', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCD2,FA complementation group D2,gene with protein product,"['FA-D2', 'FAD']","[{'GeneLocus': '3p25.3', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCE,FA complementation group E,gene with protein product,['FAE'],"[{'GeneLocus': '6p21.31', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCF,FA complementation group F,gene with protein product,['FAF'],"[{'GeneLocus': '11p14.3', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCG,FA complementation group G,gene with protein product,"['DNA repair protein XRCC9', 'FAG', 'X-ray repair complementing defective repair in Chinese hamster cells 9', 'X-ray repair, complementing defective, in Chinese hamster, 9']","[{'GeneLocus': '9p13.3', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCL,FA complementation group L,gene with protein product,"['FAAP43', 'FLJ10335', 'Pog']","[{'GeneLocus': '2p16.1', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCM,FA complementation group M,gene with protein product,['FAAP250'],"[{'GeneLocus': '14q21.2', 'LocusKey': 1}]",20301575[PMID]
84,Fanconi anemia,Malformation syndrome,FANCI,FA complementation group I,gene with protein product,['FLJ10719'],"[{'GeneLocus': '15q26.1', 'LocusKey': 1}]",20301575[PMID]
